symbol,primary_exchange_,bbg_prim_exch_symbol,short_name,industry_sector,industry_group,offering_type,pre/post,launch_date,px_date,start_date,"book_build_
days",uop,left_lead,active_book,co-managers,anncd_shares,priced_shares,upsize?,anncd_proceeds,"pre_shoe
_proceeds",type,pe_sellers,pricing,"dilution_
float",dilution_so,volume_avg_3m,deal_size_vs_adv,eqy_float,eqy_sh_out,short_int,dtc,si_percent_equity_float,beta,cur_mkt_cap,curr_entp_val,median_pt,pt_vs_launch_px,px_official_close,px_open,last_price,gap_%,chg_pct_5d,chg_pct_1m,change_from_ap,px_disc_from_launch,px_disc_from_open,trade_date,pricing_day_close,"subscription
_multiple_",mkting_vwap,"pre_open
_volume","pre_open_volume
_%_of_deal",td_open,"td_open_

vs_deal","td_open_vs_
pd_close",open_print_%,td_low_px,"td_low_px_
vs_deal",break,td_close,"td_close

vs_deal","td_close_
vs
pd_close","td_close
_
vs_td_open","td_vwap_
vs_deal","td_volume_
mkt_hours","mkt_hours_volume_
%_of_deal",td_total_volume,"td_volume_as_
%_of_priced_shares"
CHMI US Equity,UN Equity,CHMI UN Equity,CHERRY HILL MORT,Financial,REITS,Sec,post,3/22/2017,3/23/2017,3/23/2017,1,,MS,UBS RBC KBW JMP CITI BARC FBR,0,4.5,4.5,no change,$74.25 ,$74.25 ,Primary,No,$16.50 ,69.81%,59.80%,"155,088",29.02,6.45,12.03,"39,429",0.25,0.61%,0.37,$138.62 ,$743.35 ,$19.25 ,5%,$18.42 ,$17.49 ,,-5.05%,,,,-10.42%,-5.66%,3/24/2017,$16.93 ,1,$17.18 ,"938,853",20.86%,$16.42 ,-0.48%,-3.01%,,$16.40 ,-0.61%, YES ,$16.56 ,0.36%,-2.19%,0.85%,,"3,566,880",79.26%,"4,505,733.00",100.10%
NRZ US Equity,UN Equity,NRZ UUN Equity,NEW RESIDENT,Financial,REITS,Sec,pre,1/30/2017,1/30/2017,1/30/2017,1,Acq,CITI,BAML CS BARC,2,49.2,49.2,no change,$737.55 ,$738.00 ,Primary,No,$15.00 ,19.97%,20.38%,"3,989,967",12.33,246.31,250.79,"2,243,773",0.64,0.91%,0.9,"$4,080.08 ","$17,178.79 ",$16.38 ,1%,$16.27 ,$16.19 ,,-0.49%,,,,-7.81%,-7.35%,1/31/2017,$15.66 ,1,$15.94 ,"12,865,075",26.15%,$15.10 ,0.67%,-3.58%,,$15.03 ,0.20%, YES ,$15.15 ,1.00%,-3.26%,0.33%,1.20%,"40,357,903",82.03%,"53,222,978.00",108.20%
MPW US Equity,UN Equity,MPW UUN Equity,MEDICAL PROPERTI,Financial,REITS,Sec,post,8/4/2015,8/5/2015,8/5/2015,1,Acq,GS,JPM BAML CS KEYB,1,43.75,25,downsized,$535.94 ,$306.25 ,Primary,No,$12.25 ,21.48%,20.94%,"4,389,838",9.97,203.65,208.92,"10,377,161",2.36,5.10%,0.59,"$2,814.10 ","$4,859.74 ",$16.00 ,19%,$13.47 ,$13.24 ,,-1.71%,,,,-9.06%,-7.48%,8/6/2015,$12.65 ,1.5,$12.86 ,"5,547,493",22.19%,$12.05 ,-1.63%,-4.74%,,$11.90 ,-2.86%, YES ,$12.26 ,0.08%,-3.08%,1.74%,,"28,256,354",113.03%,"28,441,056.00",113.80%
DKNG US Equity,UW Equity,DKNG UW Equity,DRAFTKINGS INC-A,"Consumer, Cyclical",Entertainment,Sec,pre,10/5/2020,10/6/2020,10/5/2020,2,"GCP, Selling SHs",CS,GS,,32,32,no change,"$1,664.00 ","$1,664.00 ",Both,No,$52.00 ,12.98%,9.00%,"19,537,330",1.64,246.48,355.56,"20,817,319",1.07,8.45%,0.96,"$22,677.32 ","$21,645.57 ",$55.00 ,-14%,$63.78 ,$61.34 ,$51.18 ,-3.83%,-9.86%,5.27%,-19.76%,-18.47%,-15.23%,10/7/2020,$56.78 ,2,$59.23 ,"9,775,510",30.55%,$52.87 ,1.67%,-6.89%,2.14%,$52.20 ,0.38%, YES ,$53.33 ,2.56%,-6.08%,0.87%,3.23%,"55,699,075",174.06%,"65,474,585.00",204.60%
TA US Equity,UW Equity,TA USUW Equity,TRAVELCENTERS OF,"Consumer, Cyclical",Retail,Sec,pre,6/29/2020,6/30/2020,6/29/2020,2,GCP,CITI,FBR BMO BTIG,,4,6.1,upsized,$56.00 ,$85.40 ,Primary,No,$14.00 ,58.66%,48.08%,"295,295",13.55,6.82,8.33,"220,115",0.75,3.23%,1.17,$182.01 ,"$2,422.93 ",$33.00 ,51%,$21.88 ,$20.26 ,$23.06 ,-7.40%,8.62%,6.86%,5.39%,-36.01%,-30.90%,7/1/2020,$15.40 ,2,$16.65 ,"382,688",6.27%,$14.10 ,0.71%,-8.44%,1.72%,$13.49 ,-3.64%, YES ,$13.60 ,-2.86%,-11.69%,-3.55%,-1.38%,"4,414,292",72.37%,"4,796,980.00",78.60%
BOMN US Equity,UR Equity,BOMN UR Equity,BOSTON OMAHA -A,Communications,Advertising,Sec,post,5/27/2020,5/28/2020,5/28/2020,1,,WFC ,COWN,,3.2,3.2,no change,$51.20 ,$51.20 ,Primary,No,$16.00 ,34.83%,13.59%,"125,664",25.46,9.19,22.5,"599,689",4.77,6.53%,0.77,$457.13 ,$411.66 ,$30.00 ,55%,$19.41 ,$18.10 ,$17.65 ,-6.75%,2.72%,-14.68%,-18.44%,-17.57%,-11.60%,5/29/2020,$16.41 ,2,$17.15 ,"245,015",7.66%,$16.03 ,0.19%,-2.32%,0.69%,$15.96 ,-0.25%, YES ,$16.32 ,2.00%,-0.55%,1.81%,0.98%,"926,877",28.96%,"1,171,892.00",36.60%
TBPH US Equity,UQ Equity,TBPH UQ Equity,THERAVANCE B,"Consumer, Non-cyclical",Biotechnology,Sec,post,2/10/2020,2/11/2020,2/11/2020,1,GCP,MS,JPM COWN,,5.17,5.5,upsized,$139.66 ,$148.50 ,Primary,No,$27.00 ,12.24%,9.11%,"471,664",10.97,42.26,56.76,"2,891,192",6.13,6.84%,1.18,"$1,735.79 ","$1,950.65 ",$40.00 ,31%,$30.58 ,$29.40 ,$30.87 ,-3.86%,10.16%,45.24%,0.95%,-11.71%,-8.16%,2/12/2020,$27.89 ,2,$28.19 ,"233,702",4.25%,$25.77 ,-4.56%,-7.60%,2.21%,$24.41 ,-9.59%, YES ,$24.67 ,-8.63%,-11.55%,-4.27%,-7.42%,"3,766,250",68.48%,"3,999,952.00",72.70%
RAPT US Equity,UQ Equity,RAPT UQ Equity,RAPT THERAPEUTIC,"Consumer, Non-cyclical",Biotechnology,Sec,post,2/4/2020,2/6/2020,2/5/2020,2,Drug Development,BMO,WFC UBS CANT,,2,2.5,upsized,$60.00 ,$75.00 ,Primary,No,$30.00 ,58.53%,9.16%,"94,355",21.2,3.42,21.83,"227,333",2.41,6.65%,0.86,$924.77 ,$847.38 ,$33.00 ,-22%,$42.36 ,$37.56 ,$15.93 ,-11.33%,-7.95%,-19.53%,-62.39%,-29.18%,-20.13%,2/7/2020,$33.61 ,2,$33.53 ,"147,193",5.89%,$31.15 ,3.83%,-7.32%,0.53%,$29.78 ,-0.75%, YES ,$30.01 ,0.03%,-10.71%,-3.66%,0.79%,"927,713",37.11%,"1,074,906.00",43.00%
PBR US Equity,UN Equity,PBR UUN Equity,PETROBRAS SA-ADR,Energy,Oil&Gas,Sec,post,1/21/2020,2/5/2020,1/22/2020,11,Selling SHs,CS,BAML CITI GS MS BRAD ,,305.92,367.1,upsized,"$4,331.80 ","$5,198.14 ",Secondary,No,$14.16 ,8.22%,4.80%,"37,321,564",8.2,"3,721.23","3,721.23","23,235,061",0.62,0.62%,1.05,"$94,092.79 ","$174,016.91 ",$19.00 ,29%,$14.77 ,$14.81 ,$7.19 ,0.27%,12.62%,37.57%,-51.29%,-4.13%,-4.39%,2/6/2020,$14.43 ,2,$14.45 ,"17,209,109",4.69%,$14.80 ,4.52%,2.56%,0.27%,$14.46 ,2.12%, NO ,$14.63 ,3.32%,1.39%,-1.15%,4.20%,"87,190,105",23.75%,"104,399,214.00",28.40%
PLUG US Equity,UR Equity,PLUG UR Equity,PLUG POWER INC,Energy,Energy-Alternate Sources,Sec,post,12/2/2019,12/5/2019,12/3/2019,3,GCP,MS,BARC,,40,40,no change,$110.00 ,$110.00 ,Primary,No,$2.75 ,15.50%,15.32%,"15,828,323",2.53,258,261.07,"50,604,290",3.2,19.61%,1.46,$992.07 ,"$1,453.84 ",$4.00 ,5%,$3.80 ,$3.40 ,,-10.53%,,,,-27.63%,-19.12%,12/6/2019,$3.09 ,2,$3.27 ,"4,712,225",11.78%,$3.06 ,11.27%,-0.97%,1.52%,$3.00 ,9.09%, NO ,$3.15 ,14.55%,1.94%,2.94%,13.31%,"28,281,766",70.70%,"32,993,991.00",82.50%
